"Blough, Eric R.",23,11,d,d,24,12,Engineering
"Ma, Jane J.",24,12,l,l,24,12,Engineering
"Dunnick, J.K.",1,1,a,a,15,15,Computer & Mathematical sciences
"Pandiri, A.R.",2,2,b,b,15,15,Computer & Mathematical sciences
"Merrick, B.A.",3,3,b,b,15,15,Computer & Mathematical sciences
"Kissling, G.E.",4,4,b,b,15,15,Computer & Mathematical sciences
"Cunny, H.",5,5,b,b,15,15,Computer & Mathematical sciences
"Mutlu, E.",6,6,c,c,15,15,Computer & Mathematical sciences
"Waidyanatha, S.",7,7,c,c,15,15,Computer & Mathematical sciences
"Sills, R.",8,8,c,c,15,15,Computer & Mathematical sciences
"Ton, Tv.",9,9,c,c,15,15,Computer & Mathematical sciences
"Maynor, T.",10,10,d,d,15,15,Computer & Mathematical sciences
"Phillips, S.L.",12,12,d,d,15,15,Computer & Mathematical sciences
"Devito, M.J.",13,13,d,d,15,15,Computer & Mathematical sciences
"Brix, A.",14,3,d,b,15,15,Computer & Mathematical sciences
"Hong, H.L.",15,15,l,l,15,15,Computer & Mathematical sciences
"Xing, Xiaohua",1,1,a,a,12,12,Biological sciences
"Huang, Yao",2,2,b,b,12,12,Biological sciences
"Wang, Sen",3,3,b,b,12,12,Biological sciences
"Chi, Minhui",4,4,b,b,12,12,Biological sciences
"Zeng, Yongyi",5,5,c,c,12,12,Biological sciences
"Chen, Lihong",6,6,c,c,12,12,Biological sciences
"Li, Ling",7,7,c,c,12,12,Biological sciences
"Zeng, Jinhua",8,8,d,d,12,12,Biological sciences
"Han, Xiao",9,9,d,d,12,12,Biological sciences
"Liu, Xiaolong",10,11,d,d,12,12,Biological sciences
"Liu, Jingfeng",11,10,d,d,12,12,Biological sciences
"Lin, Minjie",12,12,l,l,12,12,Biological sciences
"Huang, Haibing",1,1,a,a,22,11,Engineering
"Lv, Jun",2,2,b,b,22,11,Engineering
"Bao, Yameng",3,3,b,b,22,11,Engineering
"Xuan, Rongwei",4,4,b,b,22,11,Engineering
"Sun, Shenghua",5,5,b,c,22,11,Engineering
"Sneck, Sami",6,6,b,c,22,11,Engineering
"Li, Shuo",7,7,b,c,22,11,Engineering
"Modanese, Chiara",8,8,c,d,22,11,Engineering
"Wang, Aihua",9,9,c,d,22,11,Engineering
"Zhao, Jianhua",10,10,c,d,22,11,Engineering
"Huang, Haibing",11,1,c,a,22,11,Engineering
"Lv, Jun",12,2,c,b,22,11,Engineering
"Bao, Yameng",13,3,c,b,22,11,Engineering
"Xuan, Rongwei",14,4,c,b,22,11,Engineering
"Sun, Shenghua",15,5,d,c,22,11,Engineering
"Sneck, Sami",16,6,d,c,22,11,Engineering
"Li, Shuo",17,7,d,c,22,11,Engineering
"Modanese, Chiara",18,8,d,d,22,11,Engineering
"Savin, Hele",19,11,d,l,22,11,Engineering
"Wang, Aihua",20,9,d,d,22,11,Engineering
"Zhao, Jianhua",21,10,d,d,22,11,Engineering
"Savin, Hele",22,11,l,l,22,11,Engineering
"Huang, Haibing",1,1,a,a,22,11,Engineering
"Lv, Jun",2,2,b,b,22,11,Engineering
"Bao, Yameng",3,3,b,b,22,11,Engineering
"Xuan, Rongwei",4,4,b,b,22,11,Engineering
"Sun, Shenghua",5,5,b,c,22,11,Engineering
"Sneck, Sami",6,6,b,c,22,11,Engineering
"Li, Shuo",7,7,b,c,22,11,Engineering
"Modanese, Chiara",8,8,c,d,22,11,Engineering
"Wang, Aihua",9,9,c,d,22,11,Engineering
"Zhao, Jianhua",10,10,c,d,22,11,Engineering
"Huang, Haibing",11,1,c,a,22,11,Engineering
"Lv, Jun",12,2,c,b,22,11,Engineering
