10.1016/j.dib.2018.12.008,"Camacho-Corona, María Del Rayo",6,Physics & Chemistry
10.1016/j.dib.2021.106844,"Syrrou, Marika",5,Biological sciences
10.1016/j.dib.2019.104280,"Kamyshova, Elizaveta G.",3,Physics & Chemistry
10.1016/j.dib.2015.09.032,"Ki Kang, Hyun",3,Engineering
10.1016/j.dib.2015.09.032,"Youn Jung, Sung",5,Engineering
10.1016/j.dib.2020.106516,"Takamte, Rufine C. Magnekou",3,Geosciences
10.1016/j.dib.2020.106516,"Ottou, Eric J. Messi",5,Geosciences
10.1016/j.dib.2019.104839,"Onwualu, Peter A.",4,Engineering
10.1016/j.dib.2021.107624,"Madrzykowski, Daniel",3,Engineering
10.1016/j.dib.2021.107624,"Stakes, Keith",4,Engineering
10.1016/j.dib.2021.107072,"Tseng, Ching-Wan",3,Biological sciences
10.1016/j.dib.2019.104736,"Yap, Timothy Tzen Vun",3,Computer & Mathematical sciences
10.1016/j.dib.2021.106899,"Bogale, Amare Assefa",3,Biological sciences
10.1016/j.dib.2021.106899,"Mengistu, Shegaw Getu",4,Biological sciences
10.1016/j.dib.2021.106866,"Johari, Afifi",3,Geosciences
10.1016/j.dib.2021.106866,"Ali, Azizi",4,Geosciences
10.1016/j.dib.2018.07.026,"Messina, Alessandra",3,Geosciences
10.1016/j.dib.2018.07.026,"D’Alò, Gian Loreto",4,Geosciences
10.1016/j.dib.2017.12.048,"Xu, Wei",3,Engineering
10.1016/j.dib.2017.12.048,"Xin, Li",4,Engineering
10.1016/j.dib.2022.107993,"Xu, Ye-Shuang",3,Geosciences
10.1016/j.dib.2016.01.004,"Han, Jianmei",4,Biological sciences
10.1016/j.dib.2021.106918,"Ogbechie, Rose",4,Social sciences & Humanities
10.1016/j.dib.2019.104315,"Ahmont Kablan, Claude Landry",4,Physics & Chemistry
10.1016/j.dib.2019.104315,"Koffi, Armand Angely",5,Physics & Chemistry
10.1016/j.dib.2019.104315,"Champy, Pierre",11,Physics & Chemistry
10.1016/j.dib.2017.02.045,"Davis, Erin E.",6,Medical sciences
10.1016/j.dib.2019.105069,"Żebrowska, Joanna",3,Engineering
10.1016/j.dib.2019.105069,"Żołnierkiewicz, Olga",5,Engineering
10.1016/j.dib.2019.105069,"Janus, Łukasz",8,Engineering
10.1016/j.dib.2019.105069,"Pikuła, Michał",18,Engineering
