Data Paper,Research Paper,Dauthors,Rauthors,Dnumber,Rnumber,Discipline,Subjects,RBO,Jaccard,LevenshteinDistance,LevenshteinRatio
10.1016/j.dib.2020.105544,S0006291X18318382,"['Ozaki, Taku', 'Utsumi, Shinto', 'Iwamoto, Takeshi', 'Tanaka, Makoto', 'Tomita, Hiroshi', 'Sugano, Eriko', 'Ishiyama, Eri', 'Ishida, Kinji']","['Iwamoto, Takeshi', 'Ishiyama, Eri', 'Ishida, Kinji', 'Yamashita, Tetsuro', 'Tomita, Hiroshi', 'Ozaki, Taku']",8,6,"Biochemistry, Genetics and Molecular Biology",Biological sciences,0.08484127,0.666666667,7,0.533333333
10.1016/j.dib.2022.108255,10.1016/j.onehlt.2021.100359,"['Poggio, Thelma Verónica', 'Gómez, José Manuel', 'Boado, Lorena Analia', 'Vojnov, Adrián Alberto', 'Larrieu, Edmundo', 'Mujica, Guillermo B.', 'Jensen, Oscar', 'Gertiser, Maria Laura', 'Prada, Joaquin M.', 'Basáñez, Maria-Gloria']","['Sykes, Abagael L.', 'Larrieu, Edmundo', 'Poggio, Thelma Verónica', 'Céspedes, M. Graciela', 'Mujica, Guillermo B.', 'Basáñez, Maria-Gloria', 'Prada, Joaquin M.']",10,7,Health and Medical Sciences,Medical sciences,0.083855452,0.583333333,10,0.315789474
10.1016/j.dib.2016.11.050,S0021915016312874,"['Mahar, Ernestine A.', 'Mou, Liping', 'Hayek, Salim S.', 'Quyyumi, Arshed A.', 'Waller, Edmund K.']","['Mekonnen, Girum', 'Hayek, Salim S.', 'Mehta, Puja K.', 'Li, Qunna', 'Mahar, Ernestine', 'Mou, Liping', 'Kenkre, Tanya S.', 'Petersen, John W.', 'Samuels, Bruce', 'Anderson, R. David', 'Sedlak, Tara', 'Zaya, Melody', 'Agarwal, Megha', 'Haftbaradaran, Afsaneh', 'Minissian, Margo', 'Handberg, Eileen', 'Pepine, Carl J.', 'Cogle, Christopher R.', 'Bairey Merz, C. Noel', 'Waller, Edmund K.', 'Quyyumi, Arshed A.', 'Azarbal, Babak']",5,22,Medicine and Dentistry,Medical sciences,0.083608313,0.956521739,8,0.8
10.1016/j.dib.2021.106770,S0022395620309456,"['Chan, Melvin', 'Tse, Emmanuel K.', 'Bao, Seraph', 'Berger, Mai', 'Beyzaei, Nadia', 'Campbell, Mackenzie', 'Garn, Heinrich', 'Hussaina, Hebah', 'Kohn, Bernhard', 'Kuzeljevic, Boris', 'Lee, Yi Jui', 'Maher, Khaola Safia', 'Carson, Natasha', 'Jeyaratnam, Jecika', 'Mcwilliams, Scout', 'Spruyt, Karen', 'Van Der Loos, Hendrik F. Machiel', 'Kuo, Calvin', 'Ipsiroglu, Osman', 'Kloesch, Gerhard']","['Beyzaei, Nadia', 'Bao, Seraph', 'Bu, Yanyun', 'Hung, Linus', 'Hussaina, Hebah', 'Maher, Khaola Safia', 'Chan, Melvin', 'Garn, Heinrich', 'Kohn, Bernhard', 'Kuzeljevic, Boris', 'Mcwilliams, Scout', 'Spruyt, Karen', 'Tse, Emmanuel', 'Machiel Van Der Loos, Hendrik F.', 'Kuo, Calvin', 'Ipsiroglu, Osman S.', 'Kloesch, Gerhard']",20,17,Health and Medical Sciences,Medical sciences,0.083413706,0.68,20,0.428571429
10.1016/j.dib.2021.107447,S112578652100031X,"[""Ng'Andwe, Phillimon"", 'Chungu, Donald', 'Tailoka, Frank', 'Bwembya, Michael']","['Ng’Andwe, Phillimon', 'Chungu, Donald', 'Tailoka, Frank', 'Bwembya, Michael']",4,4,Agricultural Sciences,Biological sciences,0.077777778,0.8,4,0.444444444
10.1016/j.dib.2019.104067,S1296207418304072,"[""Ch'Ng, Eugene"", 'Cai, Shengdan', 'Leow, Fui-Theng', 'Zhang, Tong Evelyn']","['Ch’Ng, Eugene', 'Cai, Shengdan', 'Leow, Fui-Theng', 'Zhang, Tong Evelyn']",4,4,Social Sciences,Social sciences & Humanities,0.077777778,0.8,4,0.444444444
10.1016/j.dib.2018.11.048,S0360835218304741,"['Alfiero, Simona', 'Esposito, Alfredo', 'Mensah, Emmanuel Kwasi', 'Toloo, Mehdi']","['Toloo, Mehdi', 'Mensah, Emmanuel Kwasi']",4,2,Decision Sciences,Social sciences & Humanities,0.077777778,0.5,3,0.333333333
10.1016/j.dib.2016.12.014,S0001706X16304934,"['Estrada-Contreras, Israel', 'Sandoval-Ruiz, César A.', 'Mendoza-Palmero, Fredy S.', 'Ibáñez-Bernal, Sergio', 'Equihua, Miguel', 'Benítez, Griselda']","['Equihua, Miguel', 'Ibáñez-Bernal, Sergio', 'Benítez, Griselda', 'Estrada-Contreras, Israel', 'Sandoval-Ruiz, César A.', 'Mendoza-Palmero, Fredy S.']",6,6,Environmental Sciences,Geosciences,0.073015873,1,6,0.5
10.1016/j.dib.2020.105224,S1053811919308158,"['Reynolds, Jess E.', 'Long, Xiangyu', 'Paniukov, Dmitrii', 'Bagshawe, Mercedes', 'Lebel, Catherine']","['Paniukov, Dmitrii', 'Lebel, R. Marc', 'Giesbrecht, Gerald', 'Lebel, Catherine']",5,4,Medicine and Dentistry,Medical sciences,0.072043011,0.571428571,5,0.545454545
10.1016/j.dib.2020.106289,S2352710219320601,"['Fakra, Damien Ali Hamada', 'José, Blazquez Recio Alfonso', 'Murad, Nour Mohammad', 'Randriantsoa, Ando Ny Aina', 'Gatina, Jean Claude']","['Hamada Fakra, Damien Ali', 'Alfonso José, Blázquez Recio', 'Murad, Nour Mohammad', 'Gatina, Jean Claude']",5,4,Materials Science,Engineering,0.072043011,0.571428571,5,0.363636364
